"locationid";"objectid";"hasmenu";"areamanager";"open24hours";"address";"city";"state";"zip";"longitude";"latitude";"regionaldirector";"telephone";"isactive";"storename";"lastupdated";"storenumber";"storeopen";"storeclose";"hasfuel";"unleadedprice";"plusprice";"premiumprice";"geom"
8626;"53da88d6e4b06d835806260b";t;"CHESLER, JASON";t;"5301 South Laburnum Ave.";"Henrico";"VA";"23231";-77.348948;37.512122;"RUPERT, MICHELLE";"804-226-1040";f;"WAWA, STORE # 8626";"2017-09-01 16:01:00";8626;"00:00:00";"00:00:00";t;2.359;2.659;2.909;"0101000020E61000004B00FE29555653C0F3C7B4368DC14240"
664;"53da88d6e4b06d835806261d";t;"CARTER, MICHAEL";t;"4527 Plank Rd.";"Fredericksburg";"VA";"22407";-77.538127;38.289709;"RUPERT, MICHELLE";"540-785-5535";f;"WAWA, STORE # 0664";"2017-09-01 16:01:00";664;"00:00:00";"00:00:00";t;2.459;2.709;2.909;"0101000020E61000000E863AAC706253C0AE2D3C2F15254340"
8605;"53da88cae4b06d8358062463";t;"CHESLER, JASON";t;"500 South Airport Dr.";"Sandston";"VA";"23150";-77.32899;37.524564;"RUPERT, MICHELLE";"804-652-1890";f;"WAWA, STORE # 8605";"2017-09-01 16:01:00";8605;"00:00:00";"00:00:00";t;2.359;2.639;2.889;"0101000020E610000082AD122C0E5553C05854C4E924C34240"
663;"53da88d1e4b06d8358062580";t;"CARTER, MICHAEL";t;"10626-1063 COURTHOUSE ROAD";"Fredericksburg";"VA";"22407";-77.515049;38.247521;"RUPERT, MICHELLE";"540-898-4278";f;"WAWA, STORE # 0663";"2017-09-01 16:01:00";663;"00:00:00";"00:00:00";t;2.459;2.779;3.079;"0101000020E61000009AB51490F66053C05F09A4C4AE1F4340"
8617;"53da88cfe4b06d835806251f";t;"CARTER, MICHAEL";t;"10060 JEFFERSON DAVIS HIGHWAY";"FREDERICKSBURG";"VA";"22407";-77.506675;38.225867;"RUPERT, MICHELLE";"540-710-7970";f;"WAWA, STORE # 8617";"2017-09-01 16:01:00";8617;"00:00:00";"00:00:00";t;2.459;2.719;3.019;"0101000020E6100000DAACFA5C6D6053C0711FB935E91C4340"
8634;"53da88d1e4b06d8358062536";t;"CHESLER, JASON";t;"7847 Compass Point Lane";"Mechanicsville";"VA";"23111";-77.328317;37.613433;"RUPERT, MICHELLE";"804-569-6149";f;"WAWA, STORE # 8634";"2017-09-01 16:01:00";8634;"00:00:00";"00:00:00";t;2.359;2.549;2.819;"0101000020E6100000226E4E25035553C0C2A4F8F884CE4240"
660;"53da88c9e4b06d835806243c";t;"CARTER, MICHAEL";t;"1140 Carl D. Silver Pkwy.";"Fredericksburg";"VA";"22401";-77.513571;38.297264;"RUPERT, MICHELLE";"540-785-3438";f;"WAWA, STORE # 0660";"2017-09-01 16:01:00";660;"00:00:00";"00:00:00";t;2.459;2.739;3.009;"0101000020E6100000234BE658DE6053C09A232BBF0C264340"
691;"53da88c9e4b06d835806242a";t;"CARTER, MICHAEL";t;"199 Falcon Dr.";"Fredericksburg";"VA";"22408";-77.493138;38.249648;"RUPERT, MICHELLE";"540-834-2025";f;"WAWA, STORE # 0691";"2017-09-01 16:01:00";691;"00:00:00";"00:00:00";t;2.459;2.759;3.039;"0101000020E61000008D9AAF928F5F53C083C13577F41F4340"
653;"53da88bee4b0e755dc4ec4bc";t;"CARTER, MICHAEL";t;"4625 Harrison Rd.";"Fredericksburg";"VA";"22408";-77.494321;38.264412;"RUPERT, MICHELLE";"540-898-3701";f;"WAWA, STORE # 0653";"2017-09-01 16:01:00";653;"00:00:00";"00:00:00";t;2.459;2.759;3.059;"0101000020E6100000772E8CF4A25F53C0C1559E40D8214340"
667;"53da88c6e4b06d83580623bb";t;"CARTER, MICHAEL";t;"2390 Plank Rd.";"Fredericksburg";"VA";"22401";-77.500055;38.295582;"RUPERT, MICHELLE";"540-899-2043";f;"WAWA, STORE # 0667";"2017-09-01 16:01:00";667;"00:00:00";"00:00:00";t;2.459;2.739;3.009;"0101000020E6100000E2CCAFE6006053C0A5A487A1D5254340"
668;"53da88cee4b06d83580624dc";t;"CARTER, MICHAEL";t;"830 Warrenton Rd.";"Fredericksburg";"VA";"22406";-77.510401;38.355514;"RUPERT, MICHELLE";"540-373-4394";f;"WAWA, STORE # 0668";"2017-09-01 16:01:00";668;"00:00:00";"00:00:00";t;2.399;2.659;2.959;"0101000020E610000020B6F468AA6053C094A2957B812D4340"
8627;"53da88d6e4b06d835806260d";t;"CARTER, MICHAEL";t;"9 South Gateway Dr.";"Fredericksburg";"VA";"22406";-77.496352;38.344223;"RUPERT, MICHELLE";"540-373-6203";f;"WAWA, STORE # 8627";"2017-09-01 16:01:00";8627;"00:00:00";"00:00:00";t;2.399;2.699;2.999;"0101000020E610000078D32D3BC45F53C0F8C3CF7F0F2C4340"
658;"53da88d6e4b06d8358062604";t;"CARTER, MICHAEL";t;"3402 Shannon Park Dr.";"Fredericksburg";"VA";"22408";-77.447852;38.27128;"RUPERT, MICHELLE";"540-368-3924";f;"WAWA, STORE # 0658";"2017-09-01 16:01:00";658;"00:00:00";"00:00:00";t;2.459;2.759;3.059;"0101000020E6100000AF5C6F9BA95C53C08907944DB9224340"
688;"53da88d9e4b06d835806267d";t;"CARTER, MICHAEL";t;"275 Butler Rd.";"Fredericksburg";"VA";"22405";-77.450328;38.316325;"RUPERT, MICHELLE";"540-899-2796";f;"WAWA, STORE # 0688";"2017-09-01 16:01:00";688;"00:00:00";"00:00:00";t;2.399;2.659;2.959;"0101000020E6100000471E882CD25C53C01FF46C567D284340"
651;"53da88cce4b06d83580624b4";t;"PRUNTY, ROBERT";t;"14461 Lee Hwy.";"Gainesville";"VA";"20155";-77.622509;38.792562;"RUPERT, MICHELLE";"571-261-4089";f;"WAWA, STORE # 0651";"2017-09-01 16:01:00";651;"00:00:00";"00:00:00";t;2.399;2.699;2.999;"0101000020E6100000CD1DFD2FD76753C0B306EFAB72654340"
689;"53da88bfe4b0e755dc4ec4e9";t;"PRUNTY, ROBERT";t;"15 Eustace Rd.";"Stafford";"VA";"22554";-77.436077;38.473284;"RUPERT, MICHELLE";"540-288-2057";f;"WAWA, STORE # 0689";"2017-09-01 16:01:00";689;"00:00:00";"00:00:00";t;2.459;2.719;3.019;"0101000020E61000006B6281AFE85B53C02BDCF291943C4340"
8637;"5450a954e4b0b783b952dc20";t;"PRUNTY, ROBERT";t;"11111 NOKESVILLE RD";"MANASSAS";"VA";"20112";-77.53206;38.737088;"RUPERT, MICHELLE";"703-257-1630";f;"WAWA, STORE # 8637";"2017-09-01 16:01:00";8637;"00:00:00";"00:00:00";t;2.399;2.699;2.999;"0101000020E6100000A0E062450D6253C014234BE6585E4340"
697;"53da88c7e4b06d83580623da";t;"PRUNTY, ROBERT";t;"105 Garrisonville Rd";"Stafford";"VA";"22554";-77.411655;38.4674;"RUPERT, MICHELLE";"540-659-8672";f;"WAWA, STORE # 0697";"2017-09-01 16:01:00";697;"00:00:00";"00:00:00";t;2.459;2.779;3.079;"0101000020E6100000088F368E585A53C0401361C3D33B4340"
665;"53da88d6e4b06d835806261f";t;"PRUNTY, ROBERT";t;"72 Austin Park Dr.";"Stafford";"VA";"22554";-77.403614;38.449532;"RUPERT, MICHELLE";"540-288-0655";f;"WAWA, STORE # 0665";"2017-09-01 16:01:00";665;"00:00:00";"00:00:00";t;2.459;2.779;3.049;"0101000020E61000004C8DD0CFD45953C0B340BB438A394340"
8639;"5538aca5e4b0c575b34e8cf7";t;"PRUNTY, ROBERT";t;"3450 HISTORC SULLY WAY";"CHANTILLY";"VA";"20151-3037";-77.4266;38.91455;"RUPERT, MICHELLE";"703-689-8917";f;"WAWA, STORE # 8639";"2017-09-01 16:01:00";8639;"00:00:00";"00:00:00";t;2.399;2.739;3.039;"0101000020E61000004F1E166A4D5B53C0454772F90F754340"
680;"53da88d1e4b06d8358062559";t;"PRUNTY, ROBERT";t;"15809 Jefferson Davis Hwy.";"Woodbridge";"VA";"22191";-77.29025;38.609145;"RUPERT, MICHELLE";"703-583-3558";f;"WAWA, STORE # 0680";"2017-09-01 16:01:00";680;"00:00:00";"00:00:00";t;2.499;2.679;3.019;"0101000020E61000007F6ABC74935253C0CEC29E76F84D4340"
661;"53da88d4e4b06d83580625b8";t;"PRUNTY, ROBERT";t;"13355 Minnieville Rd.";"Woodbridge";"VA";"22192";-77.300053;38.658867;"RUPERT, MICHELLE";"703-492-9984";f;"WAWA, STORE # 0661";"2017-09-01 16:01:00";661;"00:00:00";"00:00:00";t;2.499;2.679;2.979;"0101000020E610000045847F11345353C0F2B4FCC055544340"
662;"53da88c9e4b06d835806241f";t;"PRUNTY, ROBERT";t;"2051 Daniel Stewart Square";"Woodbridge";"VA";"22191";-77.275804;38.632815;"RUPERT, MICHELLE";"703-492-9858";f;"WAWA, STORE # 0662";"2017-09-01 16:01:00";662;"00:00:00";"00:00:00";t;2.499;2.679;2.979;"0101000020E6100000C806D2C5A65153C089B5F81400514340"
486;"53da88d8e4b06d835806266b";t;"GORDON, GEORGE";t;"450 Delsea Dr.";"Malaga";"NJ";"08328";-75.052709;39.572033;"WEISER, MARIAN";"856-694-4490";f;"WAWA, STORE # 0486";"2017-09-01 16:01:00";486;"00:00:00";"00:00:00";t;2.539;2.879;3.039;"0101000020E61000001CCD91955FC352C0CB9D996038C94340"
5136;"53da88c7e4b06d8358062404";t;"CARRAGHER, MICHAEL";t;"6500 South Semoran Blvd.";"Orlando";"FL";"32822";-81.31176;28.4699;"SOUDERS, TODD";"407-859-3826";f;"WAWA, STORE # 5136";"2017-09-01 16:01:00";5136;"00:00:00";"00:00:00";t;2.599;2.849;3.099;"0101000020E6100000DD0C37E0F35354C0F163CC5D4B783C40"
675;"53da88cee4b06d83580624de";t;"HOLMAN, AMANDA";t;"4800 Shore Dr.";"Virginia Beach";"VA";"23455";-76.136163;36.905032;"RUPERT, MICHELLE";"757-460-5329";f;"WAWA, STORE # 0675";"2017-09-01 16:01:00";675;"00:00:00";"00:00:00";t;2.359;2.609;2.809;"0101000020E610000037FB03E5B60853C0AFEAAC16D8734240"
671;"53da88cee4b06d83580624d1";t;"HOLMAN, AMANDA";t;"201 SOUTH ROSEMONT RD.";"Virginia Beach";"VA";"23452";-76.095959;36.833543;"RUPERT, MICHELLE";"757-463-8936";f;"WAWA, STORE # 0671";"2017-09-01 16:01:00";671;"00:00:00";"00:00:00";t;2.359;2.509;2.709;"0101000020E610000070B03731240653C0A5677A89B16A4240"
694;"53da88c6e4b06d83580623b9";t;"FOSSELLA, JASON";t;"2954 Virginia Beach Blvd.";"Virginia Beach";"VA";"23462";-76.07469;36.84462;"RUPERT, MICHELLE";"757-340-2615";f;"WAWA, STORE # 0694";"2017-09-01 16:01:00";694;"00:00:00";"00:00:00";t;2.259;2.509;2.759;"0101000020E6100000A6D590B8C70453C015C616821C6C4240"
681;"53da88c4e4b06d835806238d";t;"HOLMAN, AMANDA";t;"315 Richmond Rd.";"Williamsburg";"VA";"23185";-76.711631;37.27335;"RUPERT, MICHELLE";"757-258-1322";f;"WAWA, STORE # 0681";"2017-09-01 16:01:00";681;"00:00:00";"00:00:00";f;;;;"0101000020E610000077F4BF5C8B2D53C0492EFF21FDA24240"
938;"53da88d4e4b06d83580625d3";t;"CRESPO, ALEASE";t;"4690 US Hwy. 9";"Howell";"NJ";"07731";-74.225403;40.136702;"READ, JASON";"732-364-0938";f;"WAWA, STORE # 0938";"2017-09-01 16:01:00";938;"00:00:00";"00:00:00";t;2.539;2.839;3.039;"0101000020E6100000E65AB4006D8E52C01EA67D737F114440"
924;"53da88d1e4b06d8358062545";t;"GORDON, GEORGE";t;"2802 South Delsea Dr.";"Vineland";"NJ";"08360";-75.042635;39.446227;"WEISER, MARIAN";"856-507-9243";f;"WAWA, STORE # 0924";"2017-09-01 16:01:00";924;"00:00:00";"00:00:00";t;2.499;2.799;2.999;"0101000020E61000008FAA2688BAC252C0CDCB61F71DB94340"
974;"53da88c6e4b06d83580623a7";t;"ACKER, MICHELLE";t;"123 Paulsboro Rd.";"Woolwich Twp.";"NJ";"08085";-75.304158;39.760523;"WEISER, MARIAN";"856-467-1722";f;"WAWA, STORE # 0974";"2017-09-01 16:01:00";974;"00:00:00";"00:00:00";t;2.559;2.859;3.059;"0101000020E610000046B41D5377D352C08B6D52D158E14340"
8319;"53da88cfe4b06d835806252b";t;"MOREY, JOHN";t;"135 Route 70";"Lakewood";"NJ";"08701";-74.210694;40.049345;"MURPHY, MAUREEN";"732-942-3914";f;"WAWA, STORE # 8319";"2017-09-01 16:01:00";8319;"00:00:00";"00:00:00";t;2.559;2.859;3.059;"0101000020E6100000A9DDAF027C8D52C04E9CDCEF50064440"
8303;"53da88cae4b06d835806245d";t;"CRESPO, ALEASE";t;"3520 Route 66";"Neptune";"NJ";"07753";-74.076621;40.225065;"READ, JASON";"732-922-9514";f;"WAWA, STORE # 8303";"2017-09-01 16:01:00";8303;"00:00:00";"00:00:00";t;2.539;2.839;3.039;"0101000020E6100000F54BC45BE78452C0B43C0FEECE1C4440"
909;"53da88c4e4b06d835806236a";t;"MORENO, SANDRA";t;"548 MONMOUTH ROAD";"CLARKSBURG";"NJ";"08510";-74.42971;40.157235;"READ, JASON";"609-259-9878";f;"WAWA, STORE # 0909";"2017-09-01 16:01:00";909;"00:00:00";"00:00:00";t;2.499;2.839;3.039;"0101000020E6100000E8305F5E809B52C0AE64C74620144440"
678;"53da88c4e4b06d8358062365";t;"FOSSELLA, JASON";t;"2501 Viriginia Beach Blvd.";"Virginia Beach";"VA";"23452";-76.056035;36.840655;"RUPERT, MICHELLE";"757-431-3123";f;"WAWA, STORE # 0678";"2017-09-01 16:01:00";678;"00:00:00";"00:00:00";t;2.359;2.609;2.859;"0101000020E61000009B1BD313960353C0041C42959A6B4240"
917;"53da88bfe4b0e755dc4ec4ed";t;"WADE, ADAM";t;"2432 Hwy. #35";"Manasquan";"NJ";"08736";-74.068714;40.123577;"MURPHY, MAUREEN";"732-528-9734";f;"WAWA, STORE # 0917";"2017-09-01 16:01:00";917;"00:00:00";"00:00:00";f;;;;"0101000020E6100000C0B167CF658452C0D6C4025FD10F4440"
8608;"53da88cee4b06d83580624fe";t;"FOSSELLA, JASON";t;"1700 Virginia Beach Blvd.";"Virginia Beach";"VA";"23454";-76.021755;36.843114;"RUPERT, MICHELLE";"757-422-6300";f;"WAWA, STORE # 8608";"2017-09-01 16:01:00";8608;"00:00:00";"00:00:00";t;2.359;2.609;2.859;"0101000020E61000009161156F640153C05E66D828EB6B4240"
927;"53da88cee4b06d83580624d6";t;"MOREY, JOHN";t;"94 Route 70";"Toms River";"NJ";"08755";-74.23098;40.04239;"MURPHY, MAUREEN";"732-905-4620";f;"WAWA, STORE # 0927";"2017-09-01 16:01:00";927;"00:00:00";"00:00:00";t;2.559;2.859;3.059;"0101000020E6100000ED815660C88E52C0B6D617096D054440"
401;"53da88c9e4b06d8358062413";t;"WADE, ADAM";t;"6 Lanes Mill Rd.";"BRICK";"NJ";"08724";-74.144819;40.097474;"MURPHY, MAUREEN";"732-458-6721";f;"WAWA, STORE # 0401";"2017-09-01 16:01:00";401;"00:00:00";"00:00:00";f;;;;"0101000020E6100000B935E9B6448952C0EB1A2D077A0C4440"
598;"53da88bee4b0e755dc4ec4a0";t;"LUST, RENEE";t;"2845 North Rolling Rd.";"Windsor Mill";"MD";"21244";-76.758961;39.333194;"SHARPLESS, JOHN";"410-448-2019";f;"WAWA, STORE # 0598";"2017-09-01 16:01:00";598;"00:00:00";"00:00:00";t;2.699;2.999;3.199;"0101000020E6100000207C28D1923053C0999CDA19A6AA4340"
198;"53da88cce4b06d83580624b3";t;"GAMBIER, RACHEL";t;"970 Baltimore Pk.";"Glen Mills";"PA";"19342";-75.534933;39.88303;"HERLING, TERRENCE";"610-558-8052";f;"WAWA, STORE # 0198";"2017-09-01 16:01:00";198;"00:00:00";"00:00:00";t;2.759;3.059;3.259;"0101000020E610000046239F573CE252C085B1852007F14340"
309;"53da88cce4b06d83580624c6";t;"CRESPO, ALEASE";t;"9 Bennetts Mills Rd.";"Jackson";"NJ";"08527";-74.341848;40.111754;"READ, JASON";"732-928-3457";f;"WAWA, STORE # 0309";"2017-09-01 16:01:00";309;"00:00:00";"00:00:00";f;;;;"0101000020E6100000FE0C6FD6E09552C03D997FF44D0E4440"
298;"53da88cee4b06d8358062508";t;"GAMBIER, RACHEL";t;"1413 Wilmington Pk.";"West Chester";"PA";"19382";-75.562087;39.900712;"HERLING, TERRENCE";"610-696-6781";f;"WAWA, STORE # 0298";"2017-09-01 16:01:00";298;"00:00:00";"00:00:00";t;2.759;3.099;3.299;"0101000020E61000006FA0C03BF9E352C0B08EE3874AF34340"
8306;"53da88c9e4b06d835806240d";t;"CRESPO, ALEASE";t;"75 APPLETON AVENUE";"Middletown Twp";"NJ";"07748";-74.066611;40.415387;"READ, JASON";"732-291-2813";f;"WAWA, STORE # 8306";"2017-09-01 16:01:00";8306;"00:00:00";"00:00:00";t;2.559;2.859;3.019;"0101000020E610000072A3C85A438452C07F17B6662B354440"
