X,Y,locationid,objectid,hasmenu,areamanager,open24hours,address,city,state,zip,longitude,latitude,regionaldirector,telephone,isactive,storename,lastupdated,storenumber,storeopen,storeclose,hasfuel,unleadedprice,plusprice,premiumprice
-74.297484,40.536128,8317,53da88d1e4b06d8358062544,t,"KENT, SCOTT",t,440 KING GEORGES ROAD,WOODBRIDGE,NJ,08857,-74.297484,40.536128,"READ, JASON",732-442-5690,t,"WAWA, STORE # 8317",2017-09-07 16:01:00,8317,00:00:00,00:00:00,t,2.699,2.999,3.199
-77.665124,37.405074,657,53da88cce4b06d83580624cb,t,"ADAMS, CHRISTOPHER",t,12001 Southshore Point Dr.,Midlothian,VA,23112,-77.665124,37.405074,"RUPERT, MICHELLE",804-639-2015,t,"WAWA, STORE # 0657",2017-09-07 16:01:00,657,00:00:00,00:00:00,t,2.459,2.779,3.079
-77.447852,38.27128,658,53da88d6e4b06d8358062604,t,"CARTER, MICHAEL",t,3402 Shannon Park Dr.,Fredericksburg,VA,22408,-77.447852,38.27128,"RUPERT, MICHELLE",540-368-3924,t,"WAWA, STORE # 0658",2017-09-07 16:01:00,658,00:00:00,00:00:00,t,2.499,2.799,3.099
-77.600891,37.505498,659,53da88d4e4b06d83580625e8,t,"ADAMS, CHRISTOPHER",t,11021 Midlothian Tpk.,Richmond,VA,23235,-77.600891,37.505498,"RUPERT, MICHELLE",804-897-4283,t,"WAWA, STORE # 0659",2017-09-07 16:01:00,659,00:00:00,00:00:00,t,2.459,2.779,3.049
-77.513571,38.297264,660,53da88c9e4b06d835806243c,t,"CARTER, MICHAEL",t,1140 Carl D. Silver Pkwy.,Fredericksburg,VA,22401,-77.513571,38.297264,"RUPERT, MICHELLE",540-785-3438,t,"WAWA, STORE # 0660",2017-09-07 16:01:00,660,00:00:00,00:00:00,t,2.499,2.779,3.049
-77.300053,38.658867,661,53da88d4e4b06d83580625b8,t,"PRUNTY, ROBERT",t,13355 Minnieville Rd.,Woodbridge,VA,22192,-77.300053,38.658867,"RUPERT, MICHELLE",703-492-9984,t,"WAWA, STORE # 0661",2017-09-07 16:01:00,661,00:00:00,00:00:00,t,2.549,2.829,3.129
-77.275804,38.632815,662,53da88c9e4b06d835806241f,t,"PRUNTY, ROBERT",t,2051 Daniel Stewart Square,Woodbridge,VA,22191,-77.275804,38.632815,"RUPERT, MICHELLE",703-492-9858,t,"WAWA, STORE # 0662",2017-09-07 16:01:00,662,00:00:00,00:00:00,t,2.599,2.879,3.179
-77.515049,38.247521,663,53da88d1e4b06d8358062580,t,"CARTER, MICHAEL",t,10626-1063 COURTHOUSE ROAD,Fredericksburg,VA,22407,-77.515049,38.247521,"RUPERT, MICHELLE",540-898-4278,t,"WAWA, STORE # 0663",2017-09-07 16:01:00,663,00:00:00,00:00:00,t,2.499,2.799,3.099
-77.538127,38.289709,664,53da88d6e4b06d835806261d,t,"CARTER, MICHAEL",t,4527 Plank Rd.,Fredericksburg,VA,22407,-77.538127,38.289709,"RUPERT, MICHELLE",540-785-5535,t,"WAWA, STORE # 0664",2017-09-07 16:01:00,664,00:00:00,00:00:00,t,2.499,2.749,2.949
-77.403614,38.449532,665,53da88d6e4b06d835806261f,t,"PRUNTY, ROBERT",t,72 Austin Park Dr.,Stafford,VA,22554,-77.403614,38.449532,"RUPERT, MICHELLE",540-288-0655,t,"WAWA, STORE # 0665",2017-09-07 16:01:00,665,00:00:00,00:00:00,t,2.519,2.839,3.139
-76.345561,39.440054,599,53da88cfe4b06d835806250e,t,"MACCUBBIN, CHRISTOPH",t,1419 South Mountain Rd.,Joppa,MD,21085,-76.345561,39.440054,"SHARPLESS, JOHN",410-538-3131,t,"WAWA, STORE # 0599",2017-09-07 16:01:00,599,00:00:00,00:00:00,t,2.699,2.979,3.179
-75.041587,39.395036,710,53da88c9e4b06d835806243e,t,"ACKER, MICHELLE",t,13 West Main St.,Millville,NJ,08332,-75.041587,39.395036,"WEISER, MARIAN",856-825-5379,t,"WAWA, STORE # 0710",2017-09-07 16:01:00,710,00:00:00,00:00:00,f,,,
-75.353562,39.870577,223,53da88c7e4b06d83580623f8,t,"GAMBIER, RACHEL",t,1920 West MacDade Blvd.,Woodlyn,PA,19094,-75.353562,39.870577,"HERLING, TERRENCE",610-874-9866,t,"WAWA, STORE # 0223",2017-09-07 16:01:00,223,00:00:00,00:00:00,f,,,
-75.481074,40.277688,281,53da88d4e4b06d83580625f0,t,"EVANS, CHARLES",t,3 Big Rd.,Zieglerville,PA,19492,-75.481074,40.277688,"DEPAOLO, GINA",610-287-2092,t,"WAWA, STORE # 0281",2017-09-07 16:01:00,281,00:00:00,00:00:00,t,2.899,3.199,3.399
-76.310957,39.465085,581,53da88c9e4b06d8358062445,t,"MACCUBBIN, CHRISTOPH",t,3500 Woodsdale Rd.,Abingdon,MD,21009,-76.310957,39.465085,"SHARPLESS, JOHN",410-569-6347,t,"WAWA, STORE # 0581",2017-09-07 16:01:00,581,00:00:00,00:00:00,t,2.699,3.039,3.239
-81.730256,28.008251,5126,53da88d6e4b06d8358062626,t,"MCGRATH, KEVIN",t,1490 3RD ST SW,WINTER HAVEN,FL,33880-3915,-81.730256,28.008251,"SOUDERS, TODD",863-294-7134,t,"WAWA, STORE # 5126",2017-09-07 16:01:00,5126,00:00:00,00:00:00,t,2.699,2.949,3.199
-75.43826,39.84905,8059,53da88d9e4b06d8358062677,t,"GAMBIER, RACHEL",t,489 Conchester Hwy.,Boothwyn,PA,19061,-75.43826,39.84905,"HERLING, TERRENCE",610-485-2349,t,"WAWA, STORE # 8059",2017-09-07 16:01:00,8059,00:00:00,00:00:00,t,2.899,3.199,3.399
-76.826105,39.455725,8501,53da88d7e4b06d835806265e,t,"LUST, RENEE",t,516 Main St.,Reisterstown,MD,21136,-76.826105,39.455725,"SHARPLESS, JOHN",410-833-0201,t,"WAWA, STORE # 8501",2017-09-07 16:01:00,8501,00:00:00,00:00:00,t,2.699,3.019,3.219
-75.293987,39.866427,254,53da88d6e4b06d835806262f,t,"MCCLINTOCK, MICHAEL",t,600 South Governor Printz Blvd,Essington,PA,19029,-75.293987,39.866427,"HERLING, TERRENCE",610-521-5324,t,"WAWA, STORE # 0254",2017-09-07 16:01:00,254,00:00:00,00:00:00,f,,,
-76.656989,39.055378,595,53da88d4e4b06d83580625f8,t,"DAVIS, MICHAEL",t,701 Annapolis Rd.,Gambrills,MD,21054,-76.656989,39.055378,"SHARPLESS, JOHN",410-923-5240,t,"WAWA, STORE # 0595",2017-09-07 16:01:00,595,00:00:00,00:00:00,t,2.699,3.019,3.219
-75.043147,39.738383,975,53da88d8e4b06d8358062673,t,"HALEY, SHANNON",t,4231 Route 42,Turnersville,NJ,08012,-75.043147,39.738383,"MURPHY, MAUREEN",856-875-1529,t,"WAWA, STORE # 0975",2017-09-07 16:01:00,975,00:00:00,00:00:00,t,2.719,3.019,3.219
-75.345868,39.882724,35,53da88d6e4b06d8358062606,t,"GAMBIER, RACHEL",t,510 Fairview Rd.,Woodlyn,PA,19094,-75.345868,39.882724,"HERLING, TERRENCE",610-833-9958,t,"WAWA, STORE # 0035",2017-09-07 16:01:00,35,00:00:00,00:00:00,f,,,
-75.569367,40.182927,258,53da88d1e4b06d8358062583,t,"SCOTT, PATRICIA",t,3380 Schuylkill Rd.,Spring City,PA,19475,-75.569367,40.182927,"DEPAOLO, GINA",610-792-4335,t,"WAWA, STORE # 0258",2017-09-07 16:01:00,258,00:00:00,00:00:00,t,2.899,3.199,3.399
-74.493493,39.462462,438,53da88d1e4b06d8358062549,t,"CATERINA, SHERRI",t,336 South Pitney Rd.,Galloway,NJ,08205,-74.493493,39.462462,"WEISER, MARIAN",609-652-7972,t,"WAWA, STORE # 0438",2017-09-07 16:01:00,438,00:00:00,00:00:00,t,2.699,2.979,3.179
-76.720117,38.889145,562,53da88cfe4b06d8358062533,t,"DUTTON, BEN",t,163 Crain Hwy.,Upper Marlboro,MD,20774,-76.720117,38.889145,"SHARPLESS, JOHN",301-218-3154,t,"WAWA, STORE # 0562",2017-09-07 16:01:00,562,00:00:00,00:00:00,t,2.699,2.979,3.229
-80.388909,27.623033,5201,55b88f61e4b0f6c705207f71,t,"MCGRATH, KEVIN",t,1180 US HWY 1,VERO BEACH,FL,32960,-80.388909,27.623033,"SOUDERS, TODD",772-323-8736,t,"WAWA, STORE # 5201",2017-09-07 16:01:00,5201,00:00:00,00:00:00,t,2.699,2.949,3.199
-75.537062,40.13199,8024,53da88d1e4b06d835806253f,t,"SCOTT, PATRICIA",t,120 Schuylkill Rd.,Phoenixville,PA,19460,-75.537062,40.13199,"DEPAOLO, GINA",610-933-8524,t,"WAWA, STORE # 8024",2017-09-07 16:01:00,8024,00:00:00,00:00:00,t,2.899,3.199,3.399
-75.526929,39.967467,8045,53da88c4e4b06d8358062394,t,"OHARA, TIM",t,1501 West Chester Pk.,West Chester,PA,19382,-75.526929,39.967467,"HERLING, TERRENCE",610-696-7523,t,"WAWA, STORE # 8045",2017-09-07 16:01:00,8045,00:00:00,00:00:00,t,2.899,3.219,3.419
-75.329915,39.883647,8048,53da88cee4b06d83580624f4,t,"MCCLINTOCK, MICHAEL",t,111 MORTON AVENUE,FOLSOM,PA,19033,-75.329915,39.883647,"HERLING, TERRENCE",610-532-0624,t,"WAWA, STORE # 8048",2017-09-07 16:01:00,8048,00:00:00,00:00:00,t,2.899,3.199,3.399
-74.286981,40.577081,8323,53da88c6e4b06d83580623a8,t,"KENT, SCOTT",t,930 US Highway 1 North,Avenel,NJ,07001,-74.286981,40.577081,"READ, JASON",732-750-0532,t,"WAWA, STORE # 8323",2017-09-07 16:01:00,8323,00:00:00,00:00:00,t,2.679,2.979,3.159
-75.012814,39.727789,377,53da88c4e4b06d835806238e,t,"FETTERMAN, JENNIFER",t,672 Cross Keys Rd.,Sicklerville,NJ,08081,-75.012814,39.727789,"WEISER, MARIAN",856-875-8160,t,"WAWA, STORE # 0377",2017-09-07 16:01:00,377,00:00:00,00:00:00,f,,,
-75.01729,39.689971,379,53da88c9e4b06d835806243d,t,"FETTERMAN, JENNIFER",t,882 Glassboro Rd.,Williamstown,NJ,08094,-75.01729,39.689971,"WEISER, MARIAN",856-875-4446,t,"WAWA, STORE # 0379",2017-09-07 16:01:00,379,00:00:00,00:00:00,f,,,
-74.970106,39.718201,416,53da88d8e4b06d835806266f,t,"FETTERMAN, JENNIFER",t,400 Sicklerville Rd.,Winslow Township,NJ,08081,-74.970106,39.718201,"WEISER, MARIAN",856-728-3308,t,"WAWA, STORE # 0416",2017-09-07 16:01:00,416,00:00:00,00:00:00,t,2.699,3.019,3.199
-74.457535,39.492279,482,53da88d8e4b06d835806266a,t,"CATERINA, SHERRI",t,8 South New York Rd.,ABSECON,NJ,08205,-74.457535,39.492279,"WEISER, MARIAN",609-652-4036,t,"WAWA, STORE # 0482",2017-09-07 16:01:00,482,00:00:00,00:00:00,f,,,
-75.075985,39.751391,499,53da88d7e4b06d8358062645,t,"HALEY, SHANNON",t,388 Greentree Rd.,Washington Township,NJ,08080,-75.075985,39.751391,"MURPHY, MAUREEN",856-589-5482,t,"WAWA, STORE # 0499",2017-09-07 16:01:00,499,00:00:00,00:00:00,f,,,
-76.631489,39.110658,572,53da88c6e4b06d83580623b5,t,"DAVIS, MICHAEL",t,8300 Veterans Hwy.,Millersville,MD,21108,-76.631489,39.110658,"SHARPLESS, JOHN",410-729-9991,t,"WAWA, STORE # 0572",2017-09-07 16:01:00,572,00:00:00,00:00:00,t,2.699,3.019,3.219
-76.676355,37.266213,699,53da88d4e4b06d83580625ec,t,"HOLMAN, AMANDA",t,842 Merrimac Trail,Williamsburg,VA,23185,-76.676355,37.266213,"RUPERT, MICHELLE",757-220-5046,t,"WAWA, STORE # 0699",2017-09-07 16:01:00,699,00:00:00,00:00:00,t,2.479,2.749,2.949
-75.30939,39.880343,23,53da88d1e4b06d835806257d,t,"MCCLINTOCK, MICHAEL",t,934 Chester Pk.,Prospect Park,PA,19076,-75.30939,39.880343,"HERLING, TERRENCE",610-237-8808,t,"WAWA, STORE # 0023",2017-09-07 16:01:00,23,00:00:00,00:00:00,f,,,
-76.918856,38.629649,565,53da88cce4b06d83580624a4,t,"DAVIS, MICHAEL",t,11505 Berry Rd.,Waldorf,MD,20603,-76.918856,38.629649,"SHARPLESS, JOHN",301-638-4137,t,"WAWA, STORE # 0565",2017-09-07 16:01:00,565,00:00:00,00:00:00,t,2.699,2.979,3.179
-76.715914,38.426752,583,53da88bfe4b0e755dc4ec4d2,t,"DAVIS, MICHAEL",t,27605 Three Notch Rd.,Mechanicsville,MD,20659,-76.715914,38.426752,"SHARPLESS, JOHN",301-290-5862,t,"WAWA, STORE # 0583",2017-09-07 16:01:00,583,00:00:00,00:00:00,t,2.699,2.939,3.139
-76.850816,38.870079,597,53da88c4e4b06d8358062398,t,"DUTTON, BEN",t,1401 Hampton Park Blvd.,Capitol Heights,MD,20743,-76.850816,38.870079,"SHARPLESS, JOHN",301-336-1704,t,"WAWA, STORE # 0597",2017-09-07 16:01:00,597,00:00:00,00:00:00,t,2.699,2.999,3.199
-81.288018,28.480173,5103,53da88d1e4b06d8358062572,t,"CARRAGHER, MICHAEL",t,4700 South Goldenrod Rd.,Orlando,FL,32822,-81.288018,28.480173,"SOUDERS, TODD",407-380-9800,t,"WAWA, STORE # 5103",2017-09-07 16:01:00,5103,00:00:00,00:00:00,t,2.699,2.949,3.199
-81.36328,28.45137,5208,55cda62ce4b0431100de0398,t,"CARRAGHER, MICHAEL",t,8099 ORANGE AVE,ORLANDO,FL,32809-6711,-81.36328,28.45137,"SOUDERS, TODD",407-856-5905,t,"WAWA, STORE # 5208",2017-09-07 16:01:00,5208,00:00:00,00:00:00,t,2.699,2.949,3.199
-74.199466,40.672937,8320,53da88d6e4b06d8358062610,t,"KENT, SCOTT",t,595 Spring St.,Elizabeth,NJ,07201,-74.199466,40.672937,"READ, JASON",908-289-2402,t,"WAWA, STORE # 8320",2017-09-07 16:01:00,8320,00:00:00,00:00:00,t,2.699,2.999,3.099
